x,y,z,estimate,variance
10.00,-20.00,1860.00,1.35004,1.87003
30.00,-20.00,1860.00,1.08017,1.81235
50.00,-20.00,1860.00,0.45356,1.29582
70.00,-20.00,1860.00,1.39415,1.22092
90.00,-20.00,1860.00,1.06217,1.26196
110.00,-20.00,1860.00,0.99707,1.25369
130.00,-20.00,1860.00,0.98113,1.25112
150.00,-20.00,1860.00,0.90872,1.25689
170.00,-20.00,1860.00,0.77973,1.34569
190.00,-20.00,1860.00,0.80484,1.35326
210.00,-20.00,1860.00,0.85826,1.36091
230.00,-20.00,1860.00,1.00050,1.37723
250.00,-20.00,1860.00,1.08892,1.40617
270.00,-20.00,1860.00,1.47784,1.46525
-10.00,0.00,1860.00,1.35004,1.87003
10.00,0.00,1860.00,1.23027,1.77190
30.00,0.00,1860.00,1.08328,1.73778
50.00,0.00,1860.00,0.66527,1.39923
70.00,0.00,1860.00,0.59467,1.37723
90.00,0.00,1860.00,1.75819,1.26948
110.00,0.00,1860.00,1.25709,1.25905
130.00,0.00,1860.00,1.01041,1.25385
150.00,0.00,1860.00,1.05287,1.25495
170.00,0.00,1860.00,1.02303,1.26505
190.00,0.00,1860.00,0.95933,1.36889
210.00,0.00,1860.00,1.01023,1.37788
230.00,0.00,1860.00,1.05360,1.38664
250.00,0.00,1860.00,2.24649,1.44823
270.00,0.00,1860.00,0.17234,1.87003
-30.00,20.00,1860.00,1.35004,1.87003
-10.00,20.00,1860.00,1.23027,1.77190
10.00,20.00,1860.00,1.08328,1.73778
30.00,20.00,1860.00,0.82865,1.70653
50.00,20.00,1860.00,0.53453,1.38990
70.00,20.00,1860.00,0.48075,1.36064
90.00,20.00,1860.00,0.49141,1.36091
110.00,20.00,1860.00,0.46276,1.35326
130.00,20.00,1860.00,1.68285,1.26091
150.00,20.00,1860.00,1.23142,1.25495
170.00,20.00,1860.00,1.26792,1.26482
190.00,20.00,1860.00,1.27064,1.38990
210.00,20.00,1860.00,1.27064,1.38990
230.00,20.00,1860.00,2.14657,1.42455
250.00,20.00,1860.00,0.11745,1.81235
-30.00,40.00,1860.00,1.08017,1.81235
-10.00,40.00,1860.00,1.08328,1.73778
10.00,40.00,1860.00,0.82865,1.70653
30.00,40.00,1860.00,0.82913,1.67687
50.00,40.00,1860.00,0.51652,1.40365
70.00,40.00,1860.00,0.57339,1.36057
90.00,40.00,1860.00,0.49904,1.35301
110.00,40.00,1860.00,0.47085,1.34569
130.00,40.00,1860.00,0.46276,1.35326
150.00,40.00,1860.00,0.57941,1.36091
170.00,40.00,1860.00,0.55427,1.37788
190.00,40.00,1860.00,0.58748,1.41402
210.00,40.00,1860.00,0.13925,1.73778
230.00,40.00,1860.00,0.08346,1.77190
250.00,40.00,1860.00,0.11745,1.81235
-50.00,60.00,1860.00,1.35004,1.87003
-30.00,60.00,1860.00,1.23027,1.77190
-10.00,60.00,1860.00,0.82865,1.70653
10.00,60.00,1860.00,0.82913,1.67687
30.00,60.00,1860.00,0.93727,1.64833
50.00,60.00,1860.00,0.93727,1.64833
70.00,60.00,1860.00,0.61065,1.37150
90.00,60.00,1860.00,0.54751,1.35237
110.00,60.00,1860.00,0.49904,1.35301
130.00,60.00,1860.00,0.49141,1.36091
150.00,60.00,1860.00,0.61126,1.36889
170.00,60.00,1860.00,0.67242,1.37723
190.00,60.00,1860.00,0.69485,1.39923
210.00,60.00,1860.00,0.08346,1.77190
230.00,60.00,1860.00,0.11745,1.81235
250.00,60.00,1860.00,0.17234,1.87003
-50.00,80.00,1860.00,1.35004,1.87003
-30.00,80.00,1860.00,1.23027,1.77190
-10.00,80.00,1860.00,0.82865,1.70653
10.00,80.00,1860.00,0.82913,1.67687
30.00,80.00,1860.00,0.93727,1.64833
50.00,80.00,1860.00,0.76354,1.62076
70.00,80.00,1860.00,0.49204,1.38301
90.00,80.00,1860.00,0.61065,1.37150
110.00,80.00,1860.00,0.57339,1.36057
130.00,80.00,1860.00,0.48075,1.36064
150.00,80.00,1860.00,0.47253,1.36889
170.00,80.00,1860.00,0.65686,1.38595
190.00,80.00,1860.00,0.67890,1.40902
210.00,80.00,1860.00,0.11745,1.81235
230.00,80.00,1860.00,0.17234,1.87003
-50.00,100.00,1860.00,1.35004,1.87003
-30.00,100.00,1860.00,1.23027,1.77190
-10.00,100.00,1860.00,0.82865,1.70653
10.00,100.00,1860.00,0.82913,1.67687
30.00,100.00,1860.00,0.93727,1.64833
50.00,100.00,1860.00,0.76354,1.62076
70.00,100.00,1860.00,0.76354,1.62076
90.00,100.00,1860.00,0.93727,1.64833
110.00,100.00,1860.00,0.61065,1.37150
130.00,100.00,1860.00,0.54174,1.38069
150.00,100.00,1860.00,0.49783,1.37788
170.00,100.00,1860.00,0.68806,1.39580
190.00,100.00,1860.00,0.76119,1.43501
210.00,100.00,1860.00,0.17234,1.87003
-50.00,120.00,1860.00,1.35004,1.87003
-30.00,120.00,1860.00,1.23027,1.77190
-10.00,120.00,1860.00,0.82865,1.70653
10.00,120.00,1860.00,0.82913,1.67687
30.00,120.00,1860.00,0.93727,1.64833
50.00,120.00,1860.00,0.93727,1.64833
70.00,120.00,1860.00,0.93727,1.64833
90.00,120.00,1860.00,0.93727,1.64833
110.00,120.00,1860.00,0.82913,1.67687
130.00,120.00,1860.00,0.82865,1.70653
150.00,120.00,1860.00,0.64658,1.42455
170.00,120.00,1860.00,0.71814,1.43564
190.00,120.00,1860.00,1.35004,1.87003
-30.00,140.00,1860.00,1.08017,1.81235
-10.00,140.00,1860.00,1.08328,1.73778
10.00,140.00,1860.00,0.82865,1.70653
30.00,140.00,1860.00,0.82913,1.67687
50.00,140.00,1860.00,0.93727,1.64833
70.00,140.00,1860.00,0.93727,1.64833
90.00,140.00,1860.00,0.82913,1.67687
110.00,140.00,1860.00,0.82913,1.67687
130.00,140.00,1860.00,0.82865,1.70653
150.00,140.00,1860.00,1.08328,1.73778
170.00,140.00,1860.00,1.08017,1.81235
-30.00,160.00,1860.00,1.35004,1.87003
-10.00,160.00,1860.00,1.23027,1.77190
10.00,160.00,1860.00,1.08328,1.73778
30.00,160.00,1860.00,0.82865,1.70653
50.00,160.00,1860.00,0.82865,1.70653
70.00,160.00,1860.00,0.82913,1.67687
90.00,160.00,1860.00,0.82865,1.70653
110.00,160.00,1860.00,0.82865,1.70653
130.00,160.00,1860.00,1.08328,1.73778
150.00,160.00,1860.00,1.23027,1.77190
170.00,160.00,1860.00,1.35004,1.87003
-10.00,180.00,1860.00,1.35004,1.87003
10.00,180.00,1860.00,1.23027,1.77190
30.00,180.00,1860.00,1.08328,1.73778
50.00,180.00,1860.00,1.08328,1.73778
70.00,180.00,1860.00,1.08328,1.73778
90.00,180.00,1860.00,1.08328,1.73778
110.00,180.00,1860.00,1.23027,1.77190
130.00,180.00,1860.00,1.08017,1.81235
150.00,180.00,1860.00,1.35004,1.87003
10.00,200.00,1860.00,1.35004,1.87003
30.00,200.00,1860.00,1.08017,1.81235
50.00,200.00,1860.00,1.08017,1.81235
70.00,200.00,1860.00,1.08017,1.81235
90.00,200.00,1860.00,1.08017,1.81235
